district_id,crop,risk_condition,recommendation,rationale,source_url,verified_grounded
mh_dharashiv,tur,2026 El Nino monsoon season with projected below-normal rainfall,"Prioritize cultivation of pulses, including tur.","Pulses, including tur, are identified as among the most reliable crops under projected below-normal rainfall conditions.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFE_SsQza0xd4Ezh3ceSk9Kiz_PguVFYYMSrjem8FvOK50XvgjAX02UrMjRUIV-VjpfJwujtpFWnhRzo2eB9U7Xgi120hokLfNazDQ3Bkv6B2mmKmDJmPu0NkYmfltBiuVn6__uWYww5LVIvG4uP8yfHs0se_O1qLYJODmt1Vuc-DE1qXc_uIBzNkbGOWVAZu2H0mwy8u9e1KcPse9m4pd3oDgb5eVe7XdhrfXOsNU3V2eFyY4urRlw_8p2smIy3WecRE9RGs991fU94NyhalSD6Lg5R4ynUrN_2FLMMzVF,False
mh_jalna,general,Mid-season drought (long dry spell),Apply foliar spray of 2% urea or DAP.,Foliar application of nutrients helps crops cope with moisture stress during dry spells.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEJ7A1xFTFVSpVaAGUXby4fAvVDZxWHu6nj_Q4N90IqrBZsFh4wcBQubWQFEZTVTYaWcL-uP5enYZJYiF_bSxuGi-wBA6e3TOyQjMHI1TOvUc9rr215F1C41_6e0tWUN4IbXcPc2Sihkl2AwT_7Sqk6pOiNZssgCOJshMgccLf9,True
mh_jalna,soybean,Delayed onset of monsoon,Consider substituting soybean with greengram.,Greengram was promoted as a substitute for soybean to overcome the adverse effects of delayed monsoon in Maharashtra due to its shorter duration and drought tolerance.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG55_IjBLf34PqhjqarZoqTh0r708bDcZcXAmeoXsjzHNJfqYFJPuIzgeQVsggAeyXLjZ5aEK8COoOOk210w3HjGJ_IRajZhKcYaQEFC--j0qMEdFOKA6Q05GhUzZWMzWpBt2HMHeXFK6-yxpXChrfNbA6Z7YTPV5Fh,True
mh_jalna,general,Projected rainfall-deficit conditions (El Niño monsoon season),"Implement seed priming, mulching, and micro-irrigation systems, and consider cultivating millets (jowar, bajra) and pulses (tur, gram, moong).","These measures improve crop establishment and resilience during dry spells, and these crops require less water and exhibit greater tolerance to moisture stress.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGPp-Ec9dVcu4OCHx73PwLqjRlbf-nzYI89cr1e-PGYis-17XxGlCe0Vi8eZddAXgXp1cyRDuN0zVfCHiWkY_GdU82nbMB4LMcmt65FItbXYHtAizf3r5zPNjRri4Fujo6lme3uKNFJyOuF9h9Af4VGErBFPsXCzoasU4zNR4F1cJxbuIpph71vL6mc6IzTIORyhVuC6l-S4z6pCp6MStPtqC07Vcv9uckh4avy75z7XPwnqZ3em64hT8ANAfeCvVsL,True
mh_parbhani,general,"Weak monsoon progress and significantly below-normal rainfall (e.g., 74% below normal in early June 2026), leading to inadequate soil moisture.",Delay kharif sowing.,To prevent crop losses and reduce financial strain on farmers due to premature sowing under inadequate soil moisture conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFt1nvBwjW8whU5xKLLuR3TzbGAeibU2rEeHMPV6ktGuQ9nXpB7NntdwhG79K46u98vkGHfm2jhM22zE0lPNDR7JPS0W3Mw3VbxL1NEn5ZHCHXVxtzhCckHlyKBQ7ZxYI5Vu3_D2kjOOErJXx89S2voD6mQMdL2gNMSN4C1XMoRgVtaANTqc8WJPaIxXWXubC4hXceAzxmQaYJaPYPm0qeUe90CpklZP6STOsiI0SfQFPlttpnrgVgmfg==,True
mh_parbhani,general,Below-normal monsoon rainfall during Kharif 2026 (El Niño-driven disruptions) and water scarcity in drought-prone regions.,"Prioritize resilient and short-duration cropping systems over high-input and water-intensive crops. Consider millets (jowar, bajra) and pulses (tur, gram, moong) as reliable alternatives.",To reduce climate-related risks and for reliability under projected below-normal rainfall conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEdznVmjsx5mHPXhlcmkX1Ux7SgYT8Mp-aZ-P0U-4RvKeW3YXSToDgVtjI6cZUbqcL-tDa6sUNvc5zWoyrjfdftEvKdy0K1qKnEuDHrqcb542mL0_1n0fCxA--XaC0C7Udm9yk7DdkDS9psaDOGxwUJvuAbiMKcf_o1gz9hbCR_OQStsqK8hNCMT4kl1YjlziUB3wiSy8NVJ7yKqxaUQQKEgFG3UYQV,True
mh_parbhani,cotton,Prolonged dry spells during the Kharif season.,Apply protective irrigation and foliar spray of KNO₃ (Potassium Nitrate).,To sustain crop growth during dry spell conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGeb0b9ONTumX_C41pQlqhEiZolwS4ndf-0DQF30yrX6vl1fBDxo4ytOgkcUyUenO9RioQg7EVHtJDdKMcPjXtTiqGhcR4Xqgjo89lils6uaNA7zGCwYiZi6y2FxA3EOS5LoujTbpQvvW6A7NHqs6Ph8z03ptt-CRiWRPm1XFhkXSO88P4EdXxUi5Weajhcn1c=,True
mh_hingoli,general,forecasted below-normal rainfall during Kharif 2026 due to El Niño,"Shift towards more resilient and lower-risk cropping systems, prioritizing short-duration and drought-tolerant varieties of millets (jowar, bajra) and pulses (tur, gram, moong).","These crops require less water, exhibit greater tolerance to moisture stress, and offer a practical adaptation pathway amid growing climatic uncertainty.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3Hx2_lfkwV3_8NmWJXt3eU8ZG0aDm7I8KW0tVo6quhkRMmWR5BqQB9oNtn0X3LuoqNuwtgBZRA1YtaNBs8ZOzSYedmEh7pKIL6lVqivJoLcdY8O22edldp8UIfbXNBqbQh_MHXaPSsRUplFTFao5Fyzywecvw2RkFQTEfCzughxe2LB1i0KFzhc833sdG5DiXy22ZptqlYHFNB8Khq8MR1JFh5ZAgl8NhRz4kW4GyVUQ9s9rsoioKYO4RNDTi7Oub,True
mh_hingoli,"soybean, cotton",possibility of less rainfall during Kharif season (El Niño) in drought-prone regions like Marathwada,"Avoid cultivating water-intensive crops like cotton and soybean, and instead opt for drought-resistant crops such as millets and pulses.","Drought-resistant crops like millets and pulses show less production losses compared to cotton and soybean during rainfall deficit, and can also serve as fodder.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHT1ucX2fjVa7PV8c4_ljyDm2cVDfTKMbHMNCzpnLNHIddOVPeeJy_sBsFei8eRic-LmzSDGAH2eq3BfcSfIVZjycOFhUE58CrcZ-FESFhgFoWABtLO9Ndu_Eb2OWMnoxGzhhz2aA5gX83JnoatzVE_BFPzPjBzTj6_6urq6OtolJJ4YNXXikEPxNEOaM7J2IULfucAdrKp_0p-U_kiZuNcCFCP90w2IokppiGZmbDpmDh2ZKwMNirQehuwUaMOUpiLfMp90SF6C3Dcxyl6Ip4mTb0Oo9M6Vt0CatlDyd5n,True
mh_hingoli,cotton,drought conditions (severe stress),Provide protective irrigation wherever possible and avoid applying fertilizers until the stress subsides.,"Protective irrigation helps the crop survive stress, and avoiding fertilizers during stress can prevent wastage and potential damage to the crop.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3Hx2_lfkwV3_8NmWJXt3eU8ZG0aDm7I8KW0tVo6quhkRMmWR5BqQB9oNtn0X3LuoqNuwtgBZRA1YtaNBs8ZOzSYedmEh7pKIL6lVqivJoLcdY8O22edldp8UIfbXNBqbQh_MHXaPSsRUplFTFao5Fyzywecvw2RkFQTEfCzughxe2LB1i0KFzhc833sdG5DiXy22ZptqlYHFNB8Khq8MR1JFh5ZAgl8NhRz4kW4GyVUQ9s9rsoioKYO4RNDTi7Oub,False
mh_nanded,cotton,monsoon onset delayed by 4 weeks (July 2nd week),"Intercrop cotton with pigeonpea in a 6:2 row proportion, using pigeonpea varieties like BSMR 736 or 853. Adopt 15-20% more seed rate than recommended and reduce fertilizer dose by 25%.",This is a suggested contingency measure for early season drought due to delayed monsoon.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEcdpnsS3VJcpSlGZ-r9iYIASh_dzWEZRni5rol0DibJ2jwH5nwT9JUccvk4ZBp1Ok21nY70Um8QbYblM8s8blQIINpa9d-aA3QxCZdy9upPpb5S61ak0c6ksQ1hCvgn-kqOV0RJoEXH8KQJ6Fu66o7xOt-Rg==,True
mh_nanded,soybean,monsoon onset delayed by 4 weeks (July 2nd week),"Intercrop soybean with pigeonpea in a 4:2 row proportion, using soybean varieties like MAUS 71 or 81 and pigeonpea varieties like BSMR 736 or 853.",This is a suggested contingency measure for early season drought due to delayed monsoon.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEcdpnsS3VJcpSlGZ-r9iYIASh_dzWEZRni5rol0DibJ2jwH5nwT9JUccvk4ZBp1Ok21nY70Um8QbYblM8s8blQIINpa9d-aA3QxCZdy9upPpb5S61ak0c6ksQ1hCvgn-kqOV0RJoEXH8KQJ6Fu66o7xOt-Rg==,True
mh_nanded,general,weak monsoon conditions due to El Nino,"Promote short-duration crop varieties and those capable of delivering higher yields with lower water requirements. Adopt crop diversification, intercropping, and mixed farming practices.","These measures reduce dependence on a single crop and distribute risks across multiple crops, helping farmers generate income even if one crop is affected.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFrErSeGTutSEU-LD0K5uXwe1GjNzRiMXy4TyXyl86VlslLLwwVTXfIlSU-N2JfWYUtuog1cpDsqhCc0F0BIR8OwD20VMkRQo0OWWV8rbODs4978BfRHaOCifDz0ISogROmQEn43AiPoZQC1Q7Mu_yy-DklnzH7_KpVPmrzTybn9M3H6XVk2dYSf4Nhg0e2OkdXuOi8ZjBGZis75tvfF_6ShTNtgpuJaplqNOWCqr0ExU4k5qQAzrH_jts6IWrLGlLDvyamPStzsT58Tw==,True
ka_kalaburagi,general,no district-specific contingency plan found,consult the local Krishi Vigyan Kendra or agriculture extension officer,no citable source found for this district,,False
ka_vijayapura,general,Poor monsoon progress / zero inflow in reservoirs,Farmers should avoid cultivating water-intensive crops and plan sowing based on expected rainfall and water availability.,To prevent crop failure due to insufficient water in reservoirs.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGgARjhEib7SY1k2EjQfHU3JnvuK4gB8LeHOMFDIYO1nalO908iHwf3wyUBDSl5mgpadzgEuWFepOK4HDe5eVIIvcSZTzz7HF8l9CXgPZYmCEmdymSN6c5VEpry8QlGrx0GQk0jhXSjFq2goGXtLbNRACNW4ViIYAE_o1HxPjUECXk0JqoQul1jtOrdbuvem5FUZVF1aEgPRw==,False
ka_vijayapura,"tur, sunflower",Delayed monsoon / deficient rainfall,"Cultivate short-duration, drought-tolerant varieties of pulses and oilseeds.","These varieties require less water and mature quickly, helping to mitigate the vagaries of weather.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGgARjhEib7SY1k2EjQfHU3JnvuK4gB8LeHOMFDIYO1nalO908iHwf3wyUBDSl5mgpadzgEuWFepOK4HDe5eVIIvcSZTzz7HF8l9CXgPZYmCEmdymSN6c5VEpry8QlGrx0GQk0jhXSjFq2goGXtLbNRACNW4ViIYAE_o1HxPjUECXk0JqoQul1jtOrdbuvem5FUZVF1aEgPRw==,False
ka_vijayapura,general,Insufficient moisture in soil,Soak seeds with 2% CaCl2 solution for one hour.,To improve drought resistance in Kharif crops.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFZ3lBJZarD_xB7-t7taz-yrrgMczvna3bieykB9c2TjvUi2CGA3K58jSRzGOo9uyvaexkY3aphiBcklE2UxHFb4CEahhdpMzLS4EcOT7AF6N0pKwo_im-5qysbHvwO2VZo3cWQnbggvmzIG0mp_4BJjw==,True
ka_bidar,tur,Early season drought (delayed onset) - Delay by 2 weeks (June 3rd week),Follow dry sowing practice in redgram with ridges and furrows at 150 cm apart.,This practice is recommended for redgram in laterite red soil and shallow to medium black soils under delayed monsoon conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGhPJGCSuwf-anVHZb9a-mjILW2WaBkl91z5BhPt7QfcYjRZADhDVyOa0wTi_31e9syvK5edy265yGc8Jy6yiSlCqbrnxa2tFdbz7ubRxuTN8BUHaIVU07XRTCd60q1yGXpDefnStfQq0yqeiaa3SBT3aH3r8fvx2Cmh_xiCK9ymletcP5xu9imW5TmOi4j,True
ka_bidar,soybean,Dry periods (deficient rainfall),Adopt the Broad Bed and Furrow (BBF) method for soybean.,The BBF method helps conserve soil moisture during dry periods and facilitates drainage during excess rainfall.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGhPJGCSuwf-anVHZb9a-mjILW2WaBkl91z5BhPt7QfcYjRZADhDVyOa0wTi_31e9syvK5edy265yGc8Jy6yiSlCqbrnxa2tFdbz7ubRxuTN8BUHaIVU07XRTCd60q1yGXpDefnStfQq0yqeiaa3SBT3aH3r8fvx2Cmh_xiCK9ymletcP5xu9imW5TmOi4j,False
rj_barmer,general,Monsoon onset delayed beyond 25th July or in the first week of August,"Sow short-duration varieties of pulses (Moong, Moth, Cowpea), Guar, and short-duration oilseed crops like Til.",These crops are recommended as alternatives to cereal crops when rainfall is received after late July or early August.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGo8fwitIPpfKtnDn0j1Oze2zuNhB_7XaIluYgc9mDI1INa9RhipJIk5VSicG2Yette06dIo2WU5RwdlAW9wSiEoGsVHCdLA7aKOlI0avN4Duf0rZ2Dk4sioUF7p4h8nFO04uo0I3pSVdLKoD7WFVODXt76QLCMa0AO6T-6SQu8UEFmv_pSX5tqztpwhWFamtU6tY7_ApDzrjot-eCycIJzaDUH6fRLAW3Vtmaw6izOTONUiUWwpZ3-ejdAc8fB9-1U45jk07JL25jB,True
rj_barmer,bajra,"Monsoon onset delayed, with rainfall received in the 2nd fortnight of July (up to July 25th)","Sow short-duration varieties of Bajra such as HHB-60, HHB-67, RHB-121, ICMH-356.",These short-duration varieties are suitable for sowing when monsoon rains are received within this delayed window.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGo8fwitIPpfKtnDn0j1Oze2zuNhB_7XaIluYgc9mDI1INa9RhipJIk5VSicG2Yette06dIo2WU5RwdlAW9wSiEoGsVHCdLA7aKOlI0avN4Duf0rZ2Dk4sioUF7p4h8nFO04uo0I3pSVdLKoD7WFVODXt76QLCMa0AO6T-6SQu8UEFmv_pSX5tqztpwhWFamtU6tY7_ApDzrjot-eCycIJzaDUH6fRLAW3Vtmaw6izOTONUiUWwpZ3-ejdAc8fB9-1U45jk07JL25jB,True
rj_barmer,guar,"Early season drought (monsoon onset delayed by 6 weeks, i.e., 3rd week of August)","Sow variety RGC-936, apply seed priming with 0.05% thio-urea, and increase seed rate by 15-20%.",These measures help in better crop establishment and drought tolerance for cluster bean under delayed monsoon conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGzaBbINCHzen_oqH5_3rMV2fzovvA03E8kG-fSCSz4nJCRKTYfO4Qd0tpfUajYJaJSwmCFsqeI5Aso7hSmZ9ZreIhozgAodBEdQN0jWv-FBJLWh0ZUDiKSpowwtfegUMyiI9MnemG1JxS-KVsthXrUxzuvsgMb8wbkzDvtPyBAZajP_xB9q7xGfpc_gg==,True
rj_jaisalmer,bajra,monsoon onset delayed by 4 weeks (2nd week of August),"Prefer varieties like HHB 67, ICMH 356.","These varieties are recommended for sowing even with a significant delay in monsoon onset, indicating their suitability for such conditions.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHqOsiGUnEQmtY6kO0K2YlGLj-0DM58eXZKC0k58inRWGoF7-ckwSlibWZWIpzbg9Emj8q1kmog-l47vwtIBJMoiyzNHg3wiIM69UCmWKWi670hCDrJlWr1yT-SzmJVEnlOGBaLvEDMKFx5qcPxMzBbLqbyczvmJsahktTfEJjzas2NSQUlcjn6YovT-k26YwI=,False
rj_jaisalmer,general,rainfall received in last week of August and first week of September,Avoid sowing of Kharif crops and instead sow Rabi crops like Taramira and mustard.,"Late monsoon rainfall in this period is unsuitable for Kharif crops, making Rabi crops a more viable option.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHeC2uSmKEGoGAOuRiT_m9ACkBSr8hEFdFxwbIUTKiiRIocTKjbCLNisQ6i7tU1XwEBwrxsDX75Ex56o12zpBtI-wTQvJIe_Qr9vSwXH-ba6VBvvyj5km3LZlpGXoxOwZXbDALhMLNb-RqrClDYK_uSWmWV0P0oatUGJgpmORGnlPn4Tz6gUxerazOvrjf2RRpBol-c9mh8fXwdy7a5LimXz2c3B9_KOuSdpykJqo98H6l21gn1NeY7aLUCwWZawDZc31HGsfApzB2ScA==,True
rj_jaisalmer,moong,no district-specific contingency plan found,consult the local Krishi Vigyan Kendra or agriculture extension officer,no citable source found for this district,,False
rj_jodhpur,"bajra, moth",Monsoon onset delayed up to 2-4 weeks (July 15th to 30th),"Sow short-duration varieties of Pearl millet (RHB-121, HHB-67 Improved, HHB-94, HHB-226, HHB-234) and Moth bean (RMO-40, RMO-257, RMO-225, RMO-435).",Short duration varieties are recommended to adapt to the delayed onset of monsoon.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHk1M_hUNyCW9sF7BK0FgqjBsK4awFCZMOGfgYlj43orfZrmAdAFxGNIsd-SFHNHIEaJCDGZn0MNmPD20zg73y25be_WHNPxP3-mgZj7cOGWDYqOR37QbmIITtyn1Wo_s0LSkXa-YjwS3JfeXBqZQUok85Cm1bWymjRBYyfy_sB9g1MTpg44OJOMae33LR2,False
rj_jodhpur,general,"Mid-season drought (long dry spell, consecutive 2 weeks rainless period)","Perform thinning to maintain optimum plant population, intercultural operations to conserve moisture and remove weeds, and foliar spray of 2% urea or 2% KNO3 or 1% Thiourea at flowering and grain filling stage. Provide life-saving irrigation if feasible.","These measures aim to conserve soil moisture, control weeds, and provide nutrients to the crop during dry spells.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHk1M_hUNyCW9sF7BK0FgqjBsK4awFCZMOGfgYlj43orfZrmAdAFxGNIsd-SFHNHIEaJCDGZn0MNmPD20zg73y25be_WHNPxP3-mgZj7cOGWDYqOR37QbmIITtyn1Wo_s0LSkXa-YjwS3JfeXBqZQUok85Cm1bWymjRBYyfy_sB9g1MTpg44OJOMae33LR2,False
rj_jodhpur,"bajra, moth",Terminal drought (early withdrawal of monsoon) or low rainfall,"Provide life-saving irrigation if feasible; if damage is severe, harvest the crop for fodder.",This allows for salvaging the crop either for grain or for animal feed under severe drought conditions.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHk1M_hUNyCW9sF7BK0FgqjBsK4awFCZMOGfgYlj43orfZrmAdAFxGNIsd-SFHNHIEaJCDGZn0MNmPD20zg73y25be_WHNPxP3-mgZj7cOGWDYqOR37QbmIITtyn1Wo_s0LSkXa-YjwS3JfeXBqZQUok85Cm1bWymjRBYyfy_sB9g1MTpg44OJOMae33LR2,False
